customer_id,customer_name,email,region,join_date,loyalty_points,is_valid,error_reasons
C090,John Smith,longemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillongemaillon,Unknown,2024-03-03,816,0,Invalid region: None
C091,David Clark,,Unknown,2023-10-30,100000,0,Invalid email: None; Invalid region: Unknown; Outlier loyalty_points: 6135203 (capped to 100000)
C093,David Clark,user92@example.com,South,2024-03-05,0,0,Negative loyalty_points: -837
C094C094,Alice Brown,user93@example.com,Unknown,2022-02-05,727,0,Invalid region: None
C095,UNKNOWN,user94@example.com,South,2023-05-26,1568,0,Missing or invalid customer_name
C097,Michael Lee,,Unknown,2024-10-13,1972,0,Invalid email: ; Invalid region: Unknown
C099,John Smith,user98@example.com,Unknown,2024-03-31,1060,0,Invalid region: Unknown
C100,Name with special chars,user99@example.com,Unknown,2022-11-01,1609,0,Invalid region: None
C071,Michael Lee,user70@example.com,West,2022-09-02,0,0,Missing loyalty_points
C025,Name with special chars,,East,2022-09-16,1734,0,Invalid email: 
C042,Alice Brown,,North,2023-11-12,0,0,Invalid email: None; Missing loyalty_points
